"treeID","stemID","tag","StemTag","sp","quadrat","gx","gy","MeasureID","CensusID","dbh","pom","hom","ExactDate","DFstatus","codes","nostems","status","date"
10243,10243,"1541",NA,"NEOSKI","C1",55.6,18.3,21708,5,NA,"0",0,2003-03-24,"missing","K",1,"M",15788
10244,10244,"1542",NA,"MEMEPU","C1",55.2,17.8,21716,5,NA,"0",0,2003-03-24,"missing","K",1,"M",15788
10245,10245,"1543",NA,"POPOTO","C1",55.4,16.4,21724,5,175,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10246,10246,"1544",NA,"CANAPA","C1",56.8,15.9,21732,5,122,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10247,10247,"1545",NA,"CANAPA","C1",57.6,15,21740,5,13,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10248,10248,"1547",NA,"STREEL","C1",57.7,16.1,21748,5,12,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10249,10249,"1548",NA,"DIOSLA","C1",57.9,17.8,21756,5,26,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10250,10250,"1549",NA,"CANAPA","C1",57,17.6,21764,5,15,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10251,10251,"1550",NA,"DIOSLA","C1",56.9,17.5,21772,5,14,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10252,10252,"1551",NA,"CANAPA","C1",57,17,21780,5,14,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10253,10253,"1552",NA,"GUIOPU","C1",57.5,16,21788,5,143,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10254,10254,"1553",NA,"NAUCOF","C1",58.5,16,21796,5,76,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10255,10255,"1554",NA,"STREEL","C1",59.1,14.2,21804,5,17,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10256,10256,"1555",NA,"CANAPA","C1",59.7,13.2,21812,5,79,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10257,10257,"1556",NA,"CANAPA","C1",58,13.5,21820,5,60,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10258,10258,"1557",NA,"CANAPA","C1",57.9,12.4,21828,5,11,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10259,10259,"1558",NA,"GIROPA","C1",57,14,21836,5,55,"1.3",1.3,2003-03-24,"alive","M",1,"A",15788
10260,10260,"1559",NA,"POPOTO","C1",56,13.3,21844,5,28,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10261,10261,"1560",NA,"STREEL","C1",57.4,13,21852,5,11,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10262,10262,"1561",NA,"POPOTO","C1",56.3,12.5,21860,5,23,"1.3",1.3,2003-03-24,"alive","C",1,"A",15788
10263,10263,"1562",NA,"POPOTO","C1",57,11.9,21868,5,98,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
