"sp","Latin","Genus","Species","Family","SpeciesID","Authority","IDLevel","syn","subsp"
"AAAAAA","Unidentified indet.","Unidentified","indet.","Unknown",1,NA,"multiple",NA,NA
"ACHRPO","Maclurodendron porteri","Maclurodendron","porteri","Rutaceae",3,"(Hook.f.) T.G.Hartley","species",NA,NA
"ACTEEX","Actephila excelsa","Actephila","excelsa","Phyllanthaceae",5,"M<U+0178>ll.Arg.","species",NA,NA
"ACTIML","Actinodaphne malaccensis","Actinodaphne","malaccensis","Lauraceae",7,"Hook.f.","species",NA,NA
"ADENMA","Adenanthera malayana","Adenanthera","malayana","Fabaceae-mimosoideae",9,"Kostem.","species",NA,NA
"ADINDU","Adinandra dumosa","Adinandra","dumosa","Pentaphylacaceae",11,"Jack","species",NA,NA
"AGLA%%","Aglaia indet.","Aglaia","indet.","Meliaceae",13,NA,"multiple",NA,NA
"AGLACH","Aglaia glabriflora","Aglaia","glabriflora","Meliaceae",14,"Hiern","species",NA,NA
"AGLACN","Aglaia crassinervia","Aglaia","crassinervia","Meliaceae",15,"Kurz ex Hiern","species",NA,NA
"AGLAES","Aglaia exstipulata","Aglaia","exstipulata","Meliaceae",16,"(Griff.) Balakr.","species",NA,NA
"AGLAML","Aglaia malaccensis","Aglaia","malaccensis","Meliaceae",19,"(Ridl.) Pannell","species",NA,NA
"AGLAOD","Aglaia odoratissima","Aglaia","odoratissima","Meliaceae",20,"Benth.","species",NA,NA
"AGLARN","Aglaia rufinervis","Aglaia","rufinervis","Meliaceae",22,"(Blume) Bentvelzen","species",NA,NA
"AGROLO","Agrostistachys longifolia","Agrostistachys","longifolia","Euphorbiaceae",29,"Benth. ex Hook.f.","species",NA,NA
"AIDIWA","Aidia wallichiana","Aidia","wallichiana","Rubiaceae",30,"Tirveng.","species",NA,NA
"ALANEB","Alangium javanicum cf. var. javanicum","Alangium","javanicum cf. var. javanicum","Cornaceae",31,NA,"genus",NA,NA
"ALANGR","Alangium griffithii","Alangium","griffithii","Cornaceae",33,"Harms","species",NA,NA
"ALANLO","Alangium longiflorum","Alangium","longiflorum","Cornaceae",34,"Merr.","species",NA,NA
"ALANNO","Alangium nobile","Alangium","nobile","Cornaceae",35,"Harms ex King","species",NA,NA
"ALPHJO","Alphonsea johorensis","Alphonsea","johorensis","Annonaceae",38,"J.Sinclair","species",NA,NA
"ALSTAF","Alstonia angustifolia","Alstonia","angustifolia","Apocynaceae",40,"A.DC.","species",NA,NA
"ALSTAL","Alstonia angustiloba","Alstonia","angustiloba","Apocynaceae",41,"Miq.","species",NA,NA
